Instance,Dim,k,Time,Collisions,Expansions,Cost
18,15x15,5,0.0000,2,2355,13
19,15x15,5,0.0000,0,725,11
20,15x15,5,1.0000,0,1192,10
21,15x15,5,0.0000,1,2756,12
22,15x15,5,1.0000,0,762,13
23,15x15,5,0.0000,0,478,10
24,15x15,5,1.0000,0,1168,12
25,15x15,5,0.0000,1,8470,10
26,15x15,5,1.0000,0,1136,10
27,15x15,5,0.0000,1,1226,10
28,15x15,5,1.0000,0,303,9
29,15x15,5,0.0000,0,1293,11
30,15x15,5,1.0000,1,10146,11
31,15x15,5,0.0000,0,2249,13
32,15x15,5,1.0000,1,1848,9
33,15x15,5,0.0000,0,961,14
34,15x15,5,0.0000,0,439,9
35,15x15,5,1.0000,0,956,10
36,15x15,5,0.0000,0,1100,13
37,15x15,5,1.0000,0,630,11
38,15x15,5,0.0000,0,1153,14
39,15x15,5,1.0000,0,748,10
40,15x15,5,0.0000,0,689,11
41,15x15,5,1.0000,0,834,11
42,15x15,5,0.0000,1,2100,12
43,15x15,5,1.0000,0,1034,18
44,15x15,5,0.0000,0,439,10
45,15x15,5,0.0000,5,9084,11
46,15x15,5,1.0000,0,719,9
47,15x15,5,0.0000,0,1039,14
48,15x15,5,1.0000,2,2302,12

Instance,Dim,k,Time,Collisions,Expansions,Cost
1,15x15,5,1.000,0,1022,15
2,15x15,5,0.000,0,811,9
3,15x15,5,1.000,0,1447,13
4,15x15,5,0.000,1,3722,9
5,15x15,5,0.000,0,973,12
6,15x15,5,1.000,0,651,10
7,15x15,5,0.000,0,835,10
8,15x15,5,1.000,0,577,11
9,15x15,5,0.000,2,52768,12
10,15x15,5,1.000,0,356,14
11,15x15,5,1.000,0,770,9
12,15x15,5,0.000,0,1501,11
13,15x15,5,1.000,0,941,14
14,15x15,5,1.000,1,551163,11
15,15x15,5,6.000,1,2212704,13
16,15x15,5,34.000,1,14220686,11
17,15x15,5,0.000,0,866,13
18,15x15,5,0.000,0,725,11
19,15x15,5,1.000,0,1192,10
20,15x15,5,13.000,1,5374627,12
21,15x15,5,0.000,0,762,13
22,15x15,5,1.000,0,478,10
23,15x15,5,0.000,0,1168,12
24,15x15,5,1.000,1,8470,10
25,15x15,5,0.000,0,1136,10
26,15x15,5,1.000,1,9302,10
27,15x15,5,0.000,0,303,9
28,15x15,5,1.000,0,1293,11
29,15x15,5,0.000,1,10146,11
30,15x15,5,1.000,0,2249,13
31,15x15,5,0.000,1,6089,9
32,15x15,5,1.000,0,961,14
33,15x15,5,0.000,0,439,9
34,15x15,5,1.000,0,956,10
35,15x15,5,0.000,0,1100,13
36,15x15,5,1.000,0,630,11
37,15x15,5,0.000,0,1153,14
38,15x15,5,0.000,0,748,10
39,15x15,5,1.000,0,689,11
40,15x15,5,0.000,0,834,11
41,15x15,5,1.000,0,1034,18
42,15x15,5,0.000,0,439,10
43,15x15,5,0.000,0,719,9
44,15x15,5,0.000,0,1039,14

